-1.547786e+01	-2.173344e+00	-4.796151e+00
-1.461442e+01	-1.320911e+00	-5.370282e+00
-1.556020e+01	-2.318339e+00	-4.690440e+00
-1.572746e+01	-3.472453e+00	-3.981927e+00
-1.573564e+01	-2.739289e+00	-4.339231e+00
-1.572424e+01	-3.579283e+00	-3.829915e+00
-1.560026e+01	-3.850852e+00	-2.819633e+00
-1.556133e+01	-3.926566e+00	-2.800471e+00
-1.562944e+01	-2.816333e+00	-4.597249e+00
-1.559272e+01	-2.218993e+00	-4.589805e+00
-1.584921e+01	-2.645125e+00	-3.909689e+00
-1.535576e+01	-1.597050e+00	-4.671557e+00
-1.560164e+01	-2.624587e+00	-4.659932e+00
-1.564926e+01	-3.600100e+00	-4.135824e+00
-1.488041e+01	-1.629702e+00	-5.322428e+00
-1.579395e+01	-2.345505e+00	-4.069427e+00
-1.491905e+01	-1.471906e+00	-5.186538e+00
-1.580829e+01	-2.560752e+00	-4.085929e+00
-1.581016e+01	-2.771661e+00	-4.086906e+00
-1.585484e+01	-3.118153e+00	-3.647144e+00
-1.577798e+01	-2.753994e+00	-4.206664e+00
-1.473685e+01	-1.345792e+00	-5.280874e+00
-1.554615e+01	-1.953083e+00	-4.555302e+00
-1.577184e+01	-3.531932e+00	-3.522704e+00
-1.576680e+01	-2.922821e+00	-4.215048e+00
-1.549887e+01	-2.144538e+00	-4.747183e+00
-1.531880e+01	-1.685694e+00	-4.804498e+00
-1.540411e+01	-1.626905e+00	-4.604955e+00
-1.552310e+01	-2.743724e+00	-4.810607e+00
-1.563367e+01	-2.398132e+00	-4.557337e+00
-1.510267e+01	-1.526263e+00	-5.006990e+00
-1.571117e+01	-2.023310e+00	-4.158351e+00
-1.507796e+01	-1.733117e+00	-5.166623e+00
-1.534554e+01	-1.529040e+00	-4.630069e+00
-1.569107e+01	-2.817775e+00	-4.452742e+00
-1.588387e+01	-2.935673e+00	-3.537315e+00
-1.575043e+01	-2.062392e+00	-4.043847e+00
-1.553579e+01	-2.461651e+00	-4.769238e+00
-1.582523e+01	-2.414194e+00	-3.964363e+00
-1.558671e+01	-2.870073e+00	-4.680171e+00
-1.558230e+01	-2.002635e+00	-4.504898e+00
-1.571701e+01	-3.024644e+00	-4.336890e+00
-1.560612e+01	-1.844213e+00	-4.326796e+00
-1.546416e+01	-2.210775e+00	-4.833066e+00
-1.569499e+01	-2.521021e+00	-4.435697e+00
-1.581229e+01	-3.269374e+00	-3.784192e+00
-1.557726e+01	-3.934486e+00	-2.896595e+00
-1.573165e+01	-2.254433e+00	-4.246230e+00
-1.566389e+01	-3.830174e+00	-3.533315e+00
-1.563070e+01	-1.817347e+00	-4.228677e+00
-1.567080e+01	-3.701606e+00	-3.891559e+00
-1.565855e+01	-3.768333e+00	-3.814375e+00
-1.519461e+01	-2.036291e+00	-5.163146e+00
-1.563218e+01	-2.972508e+00	-4.565239e+00
-1.581570e+01	-2.731222e+00	-4.067703e+00
-1.560700e+01	-1.987580e+00	-4.435972e+00
-1.557545e+01	-3.937611e+00	-2.894870e+00
-1.582161e+01	-3.252921e+00	-3.739295e+00
-1.557331e+01	-2.522285e+00	-4.707132e+00
-1.587071e+01	-2.956264e+00	-3.681164e+00
-1.506899e+01	-1.389507e+00	-4.945499e+00
-1.566242e+01	-3.561066e+00	-4.134978e+00
-1.550338e+01	-1.811575e+00	-4.550161e+00
-1.472199e+01	-1.411160e+00	-5.338937e+00
-1.572014e+01	-2.780099e+00	-4.380042e+00
