1 2 -1.098 -12.9781 -2.69465 -3.37988 -0.255836 6.99697 -5.01459
2 1 2.196 -13.2615 -1.61204 -1.78074 3.0879 -3.28254 -2.8622
3 2 -1.098 -13.371 -3.34554 -0.869577 1.69444 -0.305911 -3.26388
4 2 -1.098 -13.2465 -2.95286 2.41226 -3.8877 4.91296 1.21546
5 2 -1.098 -13.1837 -3.157 5.47867 -0.637478 -1.53419 -2.2229
6 2 -1.098 -12.9928 2.09612 -3.97534 -1.44604 -2.50723 1.9932
7 2 -1.098 -13.118 1.86618 -0.620018 -0.10762 0.973824 0.297415
8 2 -1.098 -12.0136 4.14682 2.02206 -3.98533 1.62396 -5.68005
9 2 -1.098 -13.272 0.590307 5.36787 1.86758 1.17788 3.19319
10 1 2.196 -10.0118 -10.0864 -0.358866 -0.498741 1.85152 -6.05923
11 2 -1.098 -11.3643 -9.39565 0.562771 4.60065 13.0253 9.06955
12 2 -1.098 -9.29288 -11.6023 0.52796 -2.33703 -2.1145 1.19652
13 1 2.196 -9.91141 -10.2117 4.64685 1.20957 3.0381 0.775591
14 2 -1.098 -11.3026 -9.59218 3.5147 2.98505 -1.11978 -0.474719
15 2 -1.098 -9.46641 -11.6044 3.53105 2.18995 10.4922 1.65853
16 2 -1.098 -6.86382 -6.89543 -10.4016 -5.61984 5.47231 1.46326
17 1 2.196 -9.87502 -5.84764 -6.79555 -1.22238 -0.371853 4.74254
18 2 -1.098 -11.4374 -4.90844 -6.0338 -2.16942 7.39833 3.64958
19 2 -1.098 -9.3516 -4.4669 -7.9278 -1.71128 -1.9569 5.80845
20 1 2.196 -9.89092 -5.63475 -3.61655 -0.221027 -0.55136 -1.03774
21 2 -1.098 -9.58835 -7.34899 -5.71577 0.718805 -3.18295 -5.9782
22 2 -1.098 -10.8719 -4.02458 -3.58379 2.84376 2.14463 -3.00737
23 2 -1.098 -8.66314 -7.01001 -3.41244 -0.923415 2.56167 -2.73807
24 1 2.196 -10.0555 -5.85844 -0.590849 2.69702 0.51365 1.4163
25 2 -1.098 -11.0938 -6.06636 -2.20388 -3.97983 -1.53983 -3.96652
26 2 -1.098 -11.4503 -4.52458 -0.389152 4.2948 5.45863 0.457486
27 2 -1.098 -8.54485 -7.0184 -0.629309 2.90621 0.873024 0.343317
28 1 2.196 -10.8213 -8.41333 2.1653 -1.33147 -1.69832 -2.57295
29 1 2.196 -9.9717 -5.69002 2.26677 -0.501125 2.48665 1.0988
30 2 -1.098 -10.8157 -6.85392 0.904081 -0.776398 3.89164 -7.36004
